top_url,url_thiny,domain_with_https
taiwan.cn,0,0
cnfol.com,0,0
gold678.com,0,0
pep.com.cn,0,0
973.com,0,0
ccoo.cn,0,0
gmw.cn,0,0
yaojingweiba.com,0,0
gaotie.cn,0,0
a4yy.com,0,0
fudan.edu.cn,0,0
miaopai.com,0,0
dota2.com.cn,0,0
wandoujia.com,0,0
69shu.com,0,0
91.com,0,0
cnhubei.com,0,0
233.com,0,0
chinakaoyan.com,0,0
zuche.com,0,0
xici.net,0,0
chaoxing.com,0,0
lkong.net,0,0
chinapost.com.cn,0,0
lanrentuku.com,0,0
fzdm.com,0,0
downxia.com,0,0
newasp.net,0,0
cncrk.com,0,0
demaxiya.com,0,0
mop.com,0,0
mogujie.com,0,0
360che.com,0,0
sgcc.com.cn,0,0
17jita.com,0,0
it168.com,0,0
manmanbuy.com,0,0
23us.com,0,0
cnr.cn,0,0
yzz.cn,0,0
hiapk.com,0,0
ele.me,0,0
zhulong.com,0,0
diaoyu123.com,0,0
fobshanghai.com,0,0
quanmama.com,0,0
artron.net,0,0
win4000.com,0,0
dyhjw.com,0,0
aiquxs.com,0,0
shejiben.com,0,0
huangye88.com,0,0
zxxk.com,0,0
ichacha.net,0,0
boosj.com,0,0
360.com,0,0
xinshangmeng.com,0,0
aliexpress.com,0,0
hxb.com.cn,0,0
zjstv.com,0,0
gxnews.com.cn,0,0
meijutt.com,0,0
u148.net,0,0
liebiao.com,0,0
33sp.com,0,0
deppon.com,0,0
uzzf.com,0,0
kuaiji.com,0,0
keaidian.com,0,0
linkedin.com,0,0
gongchang.com,0,0
panduoduo.net,0,0
chanel.com,0,0
ofweek.com,0,0
jiaoyimao.com,0,0
cqmmgo.com,0,0
szsi.gov.cn,0,0
lawtime.cn,0,0
caixin.com,0,0
chemicalbook.com,0,0
jlonline.com,0,0
jiakaobaodian.com,0,0
szhome.com,0,0
chuanke.com,0,0
jianshu.com,0,0
downcc.com,0,0
fxxz.com,0,0
cang.com,0,0
gewara.com,0,0
bjguahao.gov.cn,0,0
5tps.com,0,0
chinacourt.org,0,0
jj20.com,0,0
pbccrc.org.cn,0,0
onlylady.com,0,0
youboy.com,0,0
bjhjyd.gov.cn,0,0
ahgame.com,0,0
adobe.com,0,0
findlaw.cn,0,0
huiyi8.com,0,0
mofangge.com,0,0
gucci.com,0,0
mahua.com,0,0
anyv.net,0,0
oneplus.cn,0,0
xp510.com,0,0
steampowered.com,0,0
huajiao.com,0,0
hainan.net,0,0
jokeji.cn,0,0
miss-no1.com,0,0
zybus.com,0,0
youxi.com,0,0
enet.com.cn,0,0
yxzoo.com,0,0
1518.com,0,0
kt51.com,0,0
sinaapp.com,0,0
edeng.cn,0,0
s.cn,0,0
kimiss.com,0,0
77vcd.com,0,0
admaimai.com,0,0
ybjk.com,0,0
100ppi.com,0,0
tooopen.com,0,0
meet99.com,0,0
sac.net.cn,0,0
b2b168.com,0,0
dxsbb.com,0,0
3987.com,0,0
tingclass.net,0,0
guijj.com,0,0
eqxiu.com,0,0
kuaihou.com,0,0
tobosu.com,0,0
sporttery.cn,0,0
ttpaihang.com,0,0
jxnews.com.cn,0,0
bidcenter.com.cn,0,0
snwx.com,0,0
shiting5.com,0,0
httpcn.com,0,0
zuofan.cn,0,0
med66.com,0,0
naver.com,0,0
ngacn.cc,0,0
ftchinese.com,0,0
xinli001.com,0,0
caijing.com.cn,0,0
scpta.gov.cn,0,0
ccmn.cn,0,0
yakuhd.com,0,0
365jilin.com,0,0
saic.gov.cn,0,0
cau.edu.cn,0,0
cnfla.com,0,0
muzisoft.com,0,0
ali213.net,0,0
160.com,0,0
fantizi5.com,0,0
hydcd.com,0,0
sina.com,0,0
ijq.tv,0,0
4hw.com.cn,0,0
scol.com.cn,0,0
51hejia.com,0,0
cctv.com,0,0
runoob.com,0,0
job592.com,0,0
jianke.com,0,0
jy135.com,0,0
vobao.com,0,0
qupu123.com,0,0
duanwenxue.com,0,0
yangtse.com,0,0
dajiazhao.com,0,0
591hx.com,0,0
bjjtgl.gov.cn,0,0
cityhouse.cn,0,0
ebrun.com,0,0
made-in-china.com,0,0
quanmin.tv,0,0
beva.com,0,0
youyuan.com,0,0
15tianqi.cn,0,0
17yy.com,0,0
wangxiao.cn,0,0
gangqinpu.com,0,0
666ccc.com,0,0
yidianzixun.com,0,0
tencent.com,0,0
12333sb.com,0,0
ishowx.com,0,0
cfi.cn,0,0
cardbaobao.com,0,0
henan100.com,0,0
vipyl.com,0,0
kaola.com,0,0
5253.com,0,0
tech-food.com,0,0
7399.com,0,0
i4.cn,0,0
aoshu.com,0,0
yuwenmi.com,0,0
goupuzi.com,0,0
chinaso.com,0,0
spdbccc.com.cn,0,0
chinalawedu.com,0,0
todayonhistory.com,0,0
doupocangqiong1.com,0,0
qingting.fm,0,0
hebpta.com.cn,0,0
ch.com,0,0
sccnn.com,0,0
bjgjj.gov.cn,0,0
gai001.com,0,0
zuanke8.com,0,0
yy8844.cn,0,0
9669.cn,0,0
enterdesk.com,0,0
cjcp.com.cn,0,0
sfacg.com,0,0
imooc.com,0,0
vvvdj.com,0,0
kuaikanmanhua.com,0,0
4399.cn,0,0
yiwugou.com,0,0
appchina.com,0,0
mpzw.com,0,0
shenmanhua.com,0,0
dhgate.com,0,0
yaolan.com,0,0
zhifang.com,0,0
my285.com,0,0
sojump.com,0,0
xiexingcun.com,0,0
mipang.com,0,0
atobo.com.cn,0,0
oracle.com,0,0
stats.gov.cn,0,0
online.sh.cn,0,0
bianzhirensheng.com,0,0
997788.com,0,0
pc841.com,0,0
supfree.net,0,0
99114.com,0,0
365j.com,0,0
pgzs.com,0,0
juanpi.com,0,0
guahao.com,0,0
bmw.com.cn,0,0
feiwan.net,0,0
eduu.com,0,0
yac8.com,0,0
365azw.com,0,0
23us.la,0,0
17house.com,0,0
duitang.com,0,0
idol001.com,0,0
askci.com,0,0
1kejian.com,0,0
zhujiage.com.cn,0,0
dahe.cn,0,0
2344.com,0,0
fedex.com,0,0
86kx.com,0,0
hebnews.cn,0,0
ibm.com,0,0
jc001.cn,0,0
te5.com,0,0
hlyy.cc,0,0
nmc.cn,0,0
99zuowen.com,0,0
9you.com,0,0
umei.cc,0,0
dydh.tv,0,0
vancl.com,0,0
lbx777.com,0,0
keyunzhan.com,0,0
ishuo.cn,0,0
pingguolv.com,0,0
sciencenet.cn,0,0
pengfu.com,0,0
yicai.com,0,0
t262.com,0,0
vdolady.com,0,0
55128.cn,0,0
fanli.com,0,0
blogchina.com,0,0
duwenzhang.com,0,0
jqw.com,0,0
cib.com.cn,0,0
jisutiyu.com,0,0
cgbchina.com.cn,0,0
xialv.com,0,0
lvse.com,0,0
ibabyzone.cn,0,0
highpin.cn,0,0
52fuqing.com,0,0
jiazhao.com,0,0
newsmth.net,0,0
tp-link.com.cn,0,0
cs.com.cn,0,0
hangzhou.com.cn,0,0
jdzj.com,0,0
115.com,0,0
sipo.gov.cn,0,0
mercedes-benz.com.cn,0,0
ting56.com,0,0
baozoumanhua.com,0,0
msn.com,0,0
xmfish.com,0,0
azg168.cn,0,0
hm.com,0,0
wtoutiao.com,0,0
aies.cn,0,0
21food.cn,0,0
9939.com,0,0
haoqu.net,0,0
bangumi.tv,0,0
kujiale.com,0,0
cnwav.com,0,0
qianhuaweb.com,0,0
myapp.com,0,0
youbianku.com,0,0
52tian.net,0,0
loupan.com,0,0
chinagwy.org,0,0
cebbank.com,0,0
jschina.com.cn,0,0
go108.com.cn,0,0
juji123.com,0,0
91jm.com,0,0
dv37.com,0,0
xinmin.cn,0,0
tvb.com,0,0
okbuy.com,0,0
rmzxb.com.cn,0,0
nowscore.com,0,0
bumimi.com,0,0
zhaogepu.com,0,0
qianlima.com,0,0
qcloud.com,0,0
bjjs.gov.cn,0,0
xueersi.com,0,0
tulaoshi.com,0,0
jmw.com.cn,0,0
liansuo.com,0,0
cas.cn,0,0
qqbaobao.com,0,0
4008000000.com,0,0
homekoo.com,0,0
51auto.com,0,0
dzsc.com,0,0
yohobuy.com,0,0
kaoshi110.com,0,0
jiuxian.com,0,0
efu.com.cn,0,0
immomo.com,0,0
asqql.com,0,0
57mh.com,0,0
51meishu.com,0,0
81.cn,0,0
xinjunshi.com,0,0
leiphone.com,0,0
shihuo.cn,0,0
fanw8.com,0,0
koreastardaily.com,0,0
moko.cc,0,0
ting30.com,0,0
jxgdw.com,0,0
icloud.com,0,0
kdslife.com,0,0
west.cn,0,0
chinachugui.com,0,0
yh31.com,0,0
zysj.com.cn,0,0
fblife.com,0,0
cninfo.com.cn,0,0
chinabaike.com,0,0
windows7en.com,0,0
js-lottery.com,0,0
61baobao.com,0,0
haier.com,0,0
audi.cn,0,0
kaixin001.com,0,0
hebei.com.cn,0,0
booking.com,0,0
tuliu.com,0,0
jobui.com,0,0
iautos.cn,0,0
open.com.cn,0,0
meizhou.cn,0,0
cnys.com,0,0
228.com.cn,0,0
lizhi.fm,0,0
jianpu.cn,0,0
tonghuacun.com,0,0
64365.com,0,0
tmetb.com,0,0
womai.com,0,0
tmsf.com,0,0
buildhr.com,0,0
app111.com,0,0
paypal.com,0,0
airasia.com,0,0
zhangyu.tv,0,0
anqu.com,0,0
tiantian.tv,0,0
chexun.com,0,0
hikvision.com,0,0
78500.cn,0,0
jj.cn,0,0
cnbeta.com,0,0
nga.cn,0,0
chinawutong.com,0,0
e-chinalife.com,0,0
dhl.com,0,0
joyme.com,0,0
louisvuitton.com,0,0
zhongmin.cn,0,0
etest.net.cn,0,0
moonbasa.com,0,0
ladyband.com,0,0
388g.com,0,0
cnool.net,0,0
ixiumei.com,0,0
1234567.com.cn,0,0
ups.com,0,0
jihaoba.com,0,0
5i5j.com,0,0
shm.com.cn,0,0
thn21.com,0,0
51test.net,0,0
xfplay.com,0,0
google.com.tw,0,0
